recipe_name,prep_time,cook_time,total_time,servings,ingredients,instructions,ingredient_names
Pancit Batil Patung Recipe,20 minutes,40 minutes,1 hour,4,6 oz. minced beef or carabeef | 12 oz. fresh Miki noodles | 3 to 4 oz. pork liver sliced | 1 medium red onion cubed | 1 1/2 cup mung bean sprouts | 3/4 cups chopped green onions | 1 cup shredded cabbage | 1 cup carrot julienne | 3 tablepespoons soy sauce | 1 egg | 1/4 teaspoon ground black pepper | 6 oz. lechon carajay chopped | 3 tablespoons cooking oil | 1 lb. beef bones with meat | 1 beef cube | 1 egg | 6 to 8 cups water | 1 stalk celery chopped | 1 medium carrot cubed | 1 small onion cubed,"Prepare the stock (or batil) by boiling water in a cooking pot. Add the beef bones. Let boil for 5 minutes. | Hold the chopped celery, carrot, and onion together using a cheese cloth and secure using a kithen thread. This will be the mirepoix. Add the mirepoix in the cooking pot and let boil. | Add the beef cube. Continue to boil in low heat for 3 hours or until the beef gets tender. You may add more water if needed. Once the stock is ready, set aside. | Heat the cooking oil in a wide pan or wok. Saute the onion until soft. | Add the minced beef. Saute for 3 to 5 minutes. | Stir-in the sliced liver. Saute for 3 minutes. | Add the mung bean sprouts, green onion, cabbage, and carrots. Continue to saute for 2 to 3 minutes. | Scoop-in 4 to 5 cups of beef stock. Let boil. | Push the meat and vegetables on one side of the pan. Arrange the Miki noodles on the other side. Toss the noodles while cooking. Add soy sauce and ground black pepper. cook for 2 to 3 minutes. | Push the noodles on one side to create an opening. Crack one egg and gently let it slide into the broth. Poach until cooked. Remove the poached egg and set aside. | Remove the noodles from the pan and arrange in a plate. | Scoop out the remaining stock and place in a small sauce pan. Turn off the heat and transfer the cooked meat and vegetables in a clean plate. Set aside. | Meanwhile, heat the saucepan with the stock from the pan. Once it starts to boil, crack a piece of egg and add it to the pot. Quickly stir and continue to cook while constantly stirring for 1 to 2 minutes or until an egg drop soup consistency is formed. Transfer to a bowl. | Start to assemble the Pancit Batil Patung by topping the miki noodles with poached egg. Add the sauted meat and vegetables over the egg and top with lechon carajay. | Serve with a bowl of batil on the side along with a dip that consists of chopped onion, soy sauce, and vinegar. | Share and enjoy!",carabeef | miki noodle | pork liver | mung bean sprout | green onion | cabbage | carrot julienne | tablepespoons soy sauce | egg | lechon carajay | bones | beef cube | stalk celery | carrot
Sprite Pork Adobo Recipe,10 minutes,1 hour,1 hour 10 minutes,5,2 lbs. pork belly cubed | 7 tablespoons soy sauce | 4 tablespoons white vinegar | 1 can Sprite or similar soda pop | 1 piece onion minced | 5 pieces dried bay leaves | 1 1/2 teaspoons whole peppercorn | 5 cloves garlic crushed | 1/2 cup water | 3 tablespoons cooking oil,"In a large bowl, combine soy sauce and Sprite with the pork belly. Mix well. Cover the bowl and refrigerate. Let the pork marinate for at least 6 hours. | Using a kitchen sieve, drain the marinade out of the bowl. Set it aside. | Heat oil in a cooking pot | Once the oil becomes hot, saute garlic until light brown | Add onion. Continue to saute until soft | Add pork belly. Stir and cook until light brown | Pour the marinade (Sprite and soy sauce). Cover the pot and let boil. | Add whole peppercorn and dried bay leaves. Cover the pot and continue to cook for 30 minutes in medium heat. | Pour vinegar into the pot. Let the liquid re-boil. Stir. Cover and cook for 25 to 30 minutes. Note: add water if needed. | Transfer to a serving plate. Serve with rice. | Share and enjoy!",pork | similar soda pop | dried bay leave | whole peppercorn
Ginataang Bilo bilo with Langka Recipe,5 minutes,40 minutes,45 minutes,6,"20 pieces glutinous rice balls (Bilo-bilo) | 20 oz jackfruit ripe, sliced | 2 cups water | 2 cups coconut cream | 3/4 cup granulated white sugar | 1 1/2 cups tapioca pearls cooked",Pour the water in a cooking pot. Bring to a boil. | Add the coconut cream. Stir and cook until the mixture starts to boil again. | Gradually stir-in the sugar. | Add the ripe jackfruit. Cover and cook in low heat for 15 minutes. | Add-in the bilo-bilo. Continue to cook for another 15 minutes while stirring every 3 minutes. | Put-in the sago. Cook for 3 to 5 minutes. | Transfer to a serving bowl. Serve. | Share and enjoy!,glutinous rice ball | jackfruit | coconut cream | tapioca pearl
Bangus Sisig Recipe,10 minutes,25 minutes,35 minutes,4,"1 piece bangus fried or baked, and then flaked | 1 piece onion chopped | 1/2 cup scallions chopped | 1 tablespoon chili pepper labuyo or Thai chili | 1/2 teaspoon ground black pepper | 1 tablespoon soy sauce | 2 teaspoons ginger minced | 1 cup crushed chicharon pork rind | 1/2 tablespoon mayonnaise | 1/4 cup unsalted butter | 1 teaspoon garlic powder | 1/2 teaspoon salt","Melt-in butter in a large pan | Add the onion and cook for 3 minutes | Put-in the ginger. Stir and cook for 2 minutes in low to medium heat. | Add the bangus and then stir. | Put-in the garlic powder, salt,ground black pepper, and soy sauce. Stir and cook for 5 minutes. | Add the chicharon, scallions, and chili. Stir and cook for 3 minutes more. | Put-in the mayonnaise. Stir. | Transfer to a serving plate. Serve. | Share and enjoy!",bangus fried | green onion | chili pepper labuyo | ginger | crushed chicharon pork rind | mayonnaise | butter | garlic powder
Pork and Chicken Adobo Recipe,15 minutes,1 hour,1 hour 15 minutes,6,1 1/2 lbs pork belly chopped | 1 1/2 lbs chicken cut into serving pieces | 4 pieces dried bay leaves | 2 teaspoons whole peppercorn | 1 head  garlic slightly crushed | 6 tablespoons vinegar white | 1/2 cup soy sauce | 1 tablespoon oyster sauce | 2 teaspoons brown sugar | 2 cups water | Salt to taste | 3 tablespoons cooking oil,"Heat oil in a pan | Once the oil becomes hot, add the garlic. Cook until the color turns golden brown. | Remove the garlic and set aside. Add pork and chicken. Cook for 5 minutes or until the color turns light brown. | Add whole peppercorn, bay leaves, oyster sauce, soy sauce, and water. Let boil and simmer until the meat gets tender. | Add the sugar and stir. | Pour-in vinegar and let boil.Simmer until most of the liquid evaporates. | Add salt to taste. Put-in the fried garlic, stir, and cook for 2 minutes. | Serve. Share and enjoy!",pork | chicken | dried bay leave | whole peppercorn | vinegar white | oyster sauce | brown sugar
Paksiw na Pata Recipe,10 minutes,1 hour,1 hour 10 minutes,4,"2 lbs Pork hock pata, sliced crosswise | 1 teaspoon garlic crushed | 1/2 cup soy sauce | 2 cups water | 3 tablespoons vinegar | 1/2 cup brown sugar | 100 grams banana blossoms dried, soaked in water | 5 pieces dried bay leaves | 1 tablespoon whole pepper corn | Salt  to taste",Boil 6 cups water in a pot. Add the pork hock. Continue to boil for 15 minutes. Discard water and wash the pork with running water until all impurities are cleaned. | Pour the water in a pot and bring to a boil. Add the whole pepper corn and dried bay leaves | Pour soy sauce into the pot and add the garlic. | Put-in the sliced pork hock and simmer for 1 to 1.5 hours (or cook in pressure cooker for 30 minutes) | Add the vinegar and simmer for 10 minutes | Place the banana blossoms in and simmer for 5 to 7 minutes | Add the brown sugar and salt and simmer for 2 minutes | Serve hot. Share and Enjoy!,pork | brown sugar | banana blossom | dried bay leave | whole pepper corn
Ginisang Togue Recipe,5 minutes,25 minutes,30 minutes,4,12 ounces mung bean sprout | 8 ounces tofu extra firm | 1 piece carrot julienne | 12 pieces shrimp head and scales removed | 1 piece tomato cubed | 1 piece onion chopped | 4 cloves garlic minced | 1 piece red bell pepper cut into strips | 1 piece green bell pepper cut into strips | 2 tablespoons oyster sauce | Ground black pepper to taste | 1 1/4 cups cooking oil,"Fry the tofu until color turns golden brown then set aside. (slice the tofu into cubes) | Saut the garlic, onion, and tomato. | Once the onion and tomato softens, add the shrimp. Saute for 1 minute. | Add the tofu. Cook for 30 seconds. | Add the mung bean sprouts and carrot. Saute for 1 minute. | Add the bell peppers. Cook for another minute. | Season with oyster sauce and ground black pepper. | Serve hot with rice. Share and enjoy!",mung bean sprout | tofu | carrot julienne | shrimp | tomato | bell pepper | oyster sauce
Rellenong Pusit,10 minutes,40 minutes,50 minutes,4,"2 pieces squid large, cleaned and gutted | 1/2 lb ground pork | 1 piece carrot diced or minced | 2 stalks celery chopped | 1 piece onion minced | 4 cloves garlic minced | 1 piece tomato diced | 1 piece lemon | 1/2 cup soy sauce | Salt and ground black pepper  to taste | 1 piece egg beaten | 1/2 cup all-purpose flour | 10 tablespoons cooking oil","Combine squid, soy sauce, and juice from 1 piece lemon and marinade for 30 minutes. | Heat a pan and pour-in 3 tablespoons cooking oil. | Saut garlic, onion, celery, and tomato. | Put-in the ground pork and cook until the color turns light brown (about 5 minutes). | Add carrots, salt and ground black pepper then stir. Cook for 10 to 15 minutes. Turn-off heat and let cool. | Stuff the marinated squid with the cooked ground pork. Insert toothpicks at the opening of the squid to secure the filling. | Dip the stuffed squid in beaten egg then dredge in flour. Set aside. | Heat another pan and pour-in 7 tablespoons of cooking oil. | Pan-fry the squid. Cook each side for 3 to 5 minutes. Note: Do not overcook the squid so that it will remain tender. | Transfer the cooked squid in a serving plate and serve. | Share and enjoy!",squid | pork | carrot | celery | tomato | lemon | egg | all purpose flour
Ginataang Mackerel,3 minutes,15 minutes,18 minutes,4,30 ounces mackerel canned in brine | 1 bunch spinach | 2 cups coconut milk | 5 pieces Thai chili pepper optional | 3 thumbs ginger sliced into thin strips | 1 piece onion chopped | 5 cloves garlic minced | 1/2 cup water | 1/4 cup white vinegar | 3 tablespoons cooking oil | Fish sauce and ground black pepper to taste,"Heat oil in a cooking pot. | Saute onion, garlic, and ginger until garlic browns and onion softens. | Pour coconut milk into the cooking pot. Add chili pepper.Stir. Cover the pot and cook for 5 minutes. | Add mackerel. Pour water and vinegar into the pot. Let boil. Stir and cover the pot. Cook for 5 to 7 minutes. | Season with fish sauce and ground black pepper. | Add spinach. Cook for 1 minute. | Transfer to a serving plate. Serve. | Share and enjoy!",mackerel | spinach | coconut milk | thai chili pepper | thumbs ginger
Inihaw na Bangus Recipe (Grilled Milkfish),10 minutes,20 minutes,30 minutes,4,"1 piece milkfish bangus, with scales but guts removed | 1 piece tomato ripe, diced | 1 piece red onion diced | 1 piece lemon or 3 pieces calamansi (optional) | 1 tablespoon ginger minced | 2 teaspoons salt | 1/2 teaspoon ground black pepper","Wash the milk fish. Pat it dry using a paper towel. | Open the incision and then rub the salt on the inside of the dish. The fish should have an incision either above or below the belly area. | Meanwhile, combine tomato, onion, and ginger in a large bowl. Squeeze some lemon juice in and add the ground black pepper. Gently stir. | Stuff the mixture inside the milkfish. | Grill the fish in medium heat for about 10 to 12 minutes per side. | Serve with toyomansi and steamed rice. | Share and enjoy!",milkfish bangus | tomato | calamansi | ginger
Dinuguan Recipe,10 minutes,50 minutes,1 hour,4,1 lb pork cut into cubes | 1 cup vinegar | 2 pieces long green pepper | 1 1/2 tablespoon brown sugar | 1 piece onion chopped finely | 1 tablespoon garlic minced | 3 tablespoon cooking oil | 1 cup water | 10 oz pork blood | 1  piece pork cube boullion | salt and pepper to taste,"Heat oil in a pan. Saut garlic and onion. | Once the onion softens, add pork. Continue to saut for 5 minutes or until light brown. | Pour water. Let boil. | Add pork cube. Cook in low heat until the meat tenderizes. | Add pork blood. Stir. Cook for 8 to 10 minutes while stirring. | Pour vinegar and add sugar and long green pepper. Cook for 12 to 15 minutes. | Season with salt and pepper as needed. Serve hot with puto.",cubes | long green pepper | brown sugar | pork blood | pork cube boullion | salt and pepper
Tinolang Tahong Recipe,5 minutes,20 minutes,25 minutes,3,"1 lb mussels tahong, cleaned | 2 cups spinach or hot pepper leaves | 3 thumbs ginger julienned | 1 piece onion sliced | 5 cloves garlic pounded | 1 1/2 teaspoons salt or 3 tbsp fish sauce | 1/2 teaspoon ground black pepper | 3 cups water | 2 tablespoons cooking oil | 2 pieces long green pepper optional","Heat a cooking pot and pour-in cooking oil. | Saute garlic and onion. | Add ginger and mussels, and then cook for a minute. | Pour-in water. let boil. Cook for5 minutes. | Put-in the spinach or hot pepper leaves. Cook for 3 minutes. | Add salt (or fish sauce) and pepper. Stir. | Transfer to a serving bowl.Serve. Share and enjoy.",mussels tahong | hot pepper leave | thumbs ginger | long green pepper
Lechon Kawali Recipe,10 minutes,50 minutes,1 hour,6,2 lbs. pork belly | 2 tablespoons salt | 2 tablespoons whole pepper corn | 5 pieces dried bay leaves | 3 cups cooking Oil | 34 ounces Water,"Pour water on cooking pot. Boil | Add the pork belly and 1 tablespoon of salt. Put some pepper pepper and bay leaves. Boil for 30 minutes or until meat gets tender | Remove the meat from the pot and let it cool down for a few minutes | Spread 1 tablespoon of salt on the pork belly. Make sure to distribute it evenly on all sections | Start to deep fry the boiled meat. Heat oil on a cooking pot. | Put each piece of boiled pork belly into the hot oil with extra caution. Fry until crispy. Turn the meat over to completely fry the opposite side until crispy. Note: be extra careful when frying as oil can splatter. You can use the cover of the pot to cover it while oil splatters, but do not cover completely as steam will be trapped. It will cause more splatters. | Remove the meat from the cooking pot. Arrange on a wire rack to cool down. Slice according to desired portions | Serve with lechon sauce. Share and Enjoy!",pork | whole pepper corn | dried bay leave
Pinoy Pork Barbecue,1 hour,15 minutes,1 hour 15 minutes,6,3 lbs pork shoulder sliced into thin pieces | 3 tablespoons Knorr Liquid Seasoning | 4 pieces calamansi or 2 pieces lime | 1/2 cup banana ketchup | 1/2 cup soy sauce | 2 1/2 tablespoons brown sugar | 2 teaspoons garlic powder | 5 tablespoons soy sauce | 1 tablespoon Knorr Liquid Seasoning | 1 piece calamansi or 1/2 lime | 1/4 cup banana ketchup | 2 teaspoons vegetable oil,Place the pork in a large bowl. Add all the BBQ marinade ingredients. Mix well. Cover the bowl and place inside the refrigerator. Marinate for at least 3 hours. Note: marinating for a longer period of time is ideal for the meat to absorb the flavors from the marinade. | Skewer the marinated pork in bamboo skewers. | Prepare the basting sauce by combining all the basting sauce ingredients in a bowl. Mix well and set aside. | Heat-up the grill. Grill the pork barbeque for 2 minutes. Baste the top part using a brush and then turn it over. Baste the top again. Continue to grill one side for 2 to 2 1/2 minutes while basting every time its flipped until the BBQ is done. | Arrange in a serving plate. Serve with rice on the side and a dipping sauce of  spicy vinegar. Share and enjoy!,pork | calamansi | banana ketchup | brown sugar | garlic powder | vegetable oil
